listing_id,id,date,reviewer_id,reviewer_name,comments,year_month,sentiment,length,reviewer_freq,days_since_last,is_anomaly,anomaly_label,sentiment_class
5456,147018,2010-11-30,43662,Cari And Todd,"I can't say anything about the hospitality, as I never made it down to Texas.  I missed my flight due to winter weather conditions.  Sylvia didn't refund any of the cost.  ",2010-11,-0.296,172,1,0.0,1,Genuine,Weak Negative
5456,794288,2011-12-19,1478493,Ryan,"I have to warn potential customers about a slight problem I had with Sylvia. On arrival, she asked for a $100 deposit, (which is normal of course) in cash or check form. She wrote a receipt and said we would get it back on departure. <br/><br/>The morning came where we had to go. She overslept even though we had discussed a 9 AM departure. She then said, ""Oh right, you know what... I spent your cash so I'll send it to you in the mail""... We found this totally irresponsible and unprofessional.<br/><br/>She ended up writing us a check on the spot and it did not bounce. The point is, she was not a responsible host. A respectful guest shouldn't have to think about whether he/she is going to get their deposit back.<br/><br/>I would consider looking in to other hosts on Air BNB in Austin.<br/><br/><br/>",2011-12,-0.8189,817,1,0.0,-1,Fake,Strong Negative
5769,179909,2011-02-08,341797,Eric,"the house was a good value. the weather was crazy cold which had nothing to do with the host but it did color our experience as the house was freezing cold and nothing seemed to help. we used a space heater and the house had electrical problems so that worked occasionally. the internet was down 5 of 6 days so it was very difficult to do business. <br/>hosts were responsive and helpful. ",2011-02,-0.4265,390,1,0.0,-1,Fake,Weak Negative
6448,451414535,2019-05-11,81347048,Carlin,"Spent a week here on a business trip, and had a great time. I managed to run along the trails of the lake every morning before getting ready for the day. Staying here also allowed me to avoid all of the poor traffic that many of the locals find frustrating.",2019-05,-0.1531,257,1,0.0,1,Genuine,Weak Negative
8502,252693654,2018-04-11,182475095,Les,"Studio très bien placé, près des arrêts de bus. Il s'agit en fait d'un garage aménagé, mais tout confort. Cuisine avec l'essentiel. La literie est très confortable. La déco est un peu vieillote mais l'ensemble est très propre.<br/>On recommande",2018-04,-0.128,244,1,0.0,1,Genuine,Weak Negative
8502,470270336000115097,2021-10-10,421328035,Christy,This place is always hot the person who lives upstairs controls the air conditioner and never turns it on. So it is always humid and muggy and cause of that has a bad smell. I don’t recommend it. Then the owner accused us of cutting branches for some weird reason. Like why would anyone do that on vacation. So the owner is kind of weird.,2021-10,-0.5984,338,1,0.0,-1,Fake,Weak Negative
22982,258688563,2018-04-29,38114128,Christopher,"Great quaint neighborhood location still close enough to the highway to get around. My only disappointment was there was not a full kitchen, I suppose I missed this in the listing description.",2018-04,-0.1027,192,1,0.0,1,Genuine,Weak Negative
57187,887209,2012-01-28,140176,Alexis,"Got in late, but everything was in order for me to ptfo without any trouble. Thanks!",2012-01,-0.1316,84,1,0.0,1,Genuine,Weak Negative
57187,242281796,2018-03-11,176606172,Matthew,"Electric, colorful funky home! Two thumbs up!",2018-03,-0.2462,45,1,0.0,1,Genuine,Weak Negative
57187,531033394,2019-09-16,137387410,Courtney,"This place does not have any TVs, there aren’t real beds just cushions on the floor, there is a bunk but the ladder is unsafe and hard to use wouldn’t recommend children staying here. Had to sleep on the bottom floor bc the top was so hot. We slept on pallets on the floor again there are NO beds. Hot water wasn’t enough for 4 people to take a shower, hot tub was not working. Really cool design host was nice but not my favorite place.",2019-09,-0.3265,437,1,0.0,-1,Fake,Weak Negative
69303,719749495,2020-12-30,3504192,Riley,Lois was very understanding and accomodating when we had a personal issue came up that affected the timing of our stay.,2020-12,-0.1531,119,2,0.0,1,Genuine,Weak Negative
70258,334946577,2018-10-10,8896137,Stephanie,Stylish lodging iff the beaten path.,2018-10,-0.4215,36,1,0.0,-1,Fake,Weak Negative
72833,232622896,2018-02-05,1669799,Max,"Dieses kleine Häuschen ist sehr gemütlich und eine perfekte Unterkunft, wenn man allein oder zu zweit in Austin ist. In der Küche sind Marmelade, Gewürze, Milch, Eier, Bier und Wein und Tee zur Begrüßung vorhanden, ich hätte gar nicht einkaufen müssen. Ich habe Andys Fahrrad genutzt und war nur mit dem Fahrrad in der Stadt unterwegs. Andy und Ellen sind sehr hilfsbereit und haben mich zum Superbowl schauen eingeladen. Das Haus ist liebevoll eingerichtet, viele Bücher. Ganz in der Nähe ist das Cafe Kurbylane mit sehr gutem frischem und nicht zu teurem Essen. Schlüsselübergabe war unkompliziert, die Tür stand offen und der Schlüssel steckte. Ich komme gerne wieder.",2018-02,-0.9136,671,1,0.0,-1,Fake,Strong Negative
73005,211381120,2017-11-12,60587064,Pierre Nicolas,"Très bel appartement, calme, avec tout le confort et beaucoup de place et d'espaces vides. Vivian est très sympathique, discrète mais facilement atteignable. La cuisine est parfaite pour faire d'excellents repas.<br/>A recommander!",2017-11,-0.2003,231,1,0.0,1,Genuine,Weak Negative
74318,10572899,2014-02-25,11812173,Ingvor,"Vår vistelse hos Amy &Justin var helt suverän. Vi hade ju till och med ett eget litet hus, och vi hade tillgång till kylskåp! toppen. Eftersom jag har lite problem med mina fötter är det skönt att kunna ha lite mat till hands om jag inte vill slita på fötterna och gå ut en extra gång för att äta.. Värdparet och deras lille son är jättegulliga, och det blev helt perfekt för oss att få rå oss själva de första dygnen, men med möjlighet att få hjälp med vad vi ville. Vi blev t.o.m. skjutsade till busshållplatsen första dagen. Eftersom Amys mamma skulle komma på besök fick vi sedan flytta till ett annat boende. Vi kunde inte fått det bättre.Hälsningar Ingvor Carlander och Lars-Olof Lindgren",2014-02,-0.1511,694,1,0.0,-1,Fake,Weak Negative
75957,755161297025941755,2022-11-07,448032880,Monika,Die Wohnung ist sehr schön eingerichtet und hat alles was wir brauchen. Wir haben uns sehr wohl gefühlt.,2022-11,-0.5994,104,1,0.0,-1,Fake,Weak Negative
77639,422671650,2019-03-11,36166807,Renae,"I was disappointed with my stay at this listing. <br/>Cons:<br/>Foul odor throughout the home.<br/>The photos online are not accurate to the current condition. (Slightly different furniture, decor, etc.)<br/>Amenities are not as listed. For example, wifi did not work continuously and there were no TVs despite being listed as an amenity and included in pictures. <br/>Cleanliness was questionable, despite the high cleaning fee. The sheets in one of the bedrooms were stained and made us question if they had been washed, the bath towels were wet, etc. When we contacted the host about exorbitant food crumbs in the living room he did have the cleaning crew come back. <br/>House is not in great shape overall - cold water didn't work in the bathroom sink, broken blinds, flickering light bulbs, etc. All in all, it's an old house, and the description of ""contemporary"" is inaccurate. <br/><br/>Pros: <br/>- perfect location <br/>- host responsive to messages during our stay<br/>- easy check in <br/>- parking provided in driveway<br/><br/>I was shocked by the previous generally positive reviews. This listing was misleading overall and not in the described condition.",2019-03,-0.6362,1171,1,0.0,-1,Fake,Strong Negative
78035,411153108,2019-02-11,1410543,Cindy,Stay here! Rented this house for a girls weekend and all the extra design touches were on point! The weather was nasty but the house made the weekend.,2019-02,-0.4374,150,1,0.0,-1,Fake,Weak Negative
78127,452121211,2019-05-12,200505838,Kathie,"Don’t let the pictures fool you, they are very outdated and this house is very cluttered. There’s not much space to put any of your stuff, all the space is filled with decorative items. Bathroom & room lights were out when we visited. Host takes 3-4 hours to respond to texts and doesn’t answer calls. Kitchen and upstairs is hidden behind paintings and curtains. Most rooms don’t even have curtains so everyone can see your bare booty. Bathroom is small and cluttered, barely any space to put a toothbrush and tooth paste. Wouldn’t recommend staying here, especially if you’re traveling with more than 4.",2019-05,-0.1027,605,1,0.0,-1,Fake,Weak Negative
